"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"test01_VShare主流程的接口测试","test01主流程--选择发运方式为快递下单","test03用例--获取购物车生成的checkoutID","0","0","1","0","0"
"test01_VShare主流程的接口测试","test01主流程--选择发运方式为快递下单","test02用例--商品加入购物车","0","0","1","0","0"
"test01_VShare主流程的接口测试","test01主流程--选择发运方式为快递下单","test04用例--进入到结算页","0","0","1","0","0"
"test01_VShare主流程的接口测试","test01主流程--选择发运方式为快递下单","test01用例--登录用户","0","0","1","0","0"
"test01_VShare主流程的接口测试","test01主流程--选择发运方式为快递下单","test08用例--创建订单","0","0","1","0","0"
"test01_VShare主流程的接口测试","test01主流程--选择发运方式为快递下单","test07用例--选择支付渠道","0","0","1","0","0"
"test01_VShare主流程的接口测试","test01主流程--选择发运方式为快递下单","test06用例--结算页跳转收银台","0","0","1","0","0"
"test01_VShare主流程的接口测试","test01主流程--选择发运方式为快递下单","test05用例--选择发运方式--快递","0","0","1","0","0"
